Prod,Temp,RH
0.3375,27,62
0.35,26,65
0.3125,26,67
0.3125,26,67
0.3125,26,67
0.3625,26,67
0.375,26,68
0.35,26,70
0.4,27,66
0.4625,28,63
0.4875,29,60
0.475,30,51
0.425,31,48
0.425,31,47
0.45,31,49
0.3625,31,51
0.3625,31,52
0.45,31,54
0.6125,30,57
0.575,30,58
0.6,29,60
0.5125,29,61
0.575,29,59
0.4625,29,61
0.4,28,63
0.425,28,63
0.375,28,61
0.35,28,60
0.325,28,61
0.375,27,62
0.4,27,63
0.425,28,63
0.375,28,61
0.4,29,58
0.375,30,53
0.3625,31,51
0.375,31,49
0.475,32,47
0.475,32,47
0.45,32,45
0.45,32,46
0.4125,31,47
0.45,31,51
0.525,30,52
0.575,30,54
0.6125,29,58
0.575,29,58
0.6125,29,58
0.65,28,60
0.5875,28,60
0.525,28,63
0.475,27,66
0.5125,27,66
